Peyton Manning,Den,QB,7,406
Drew Brees,NO,QB,13,348
Jamaal Charles,KC,RB,6,295
Cam Newton,Car,QB,31,282
Andrew Luck,Ind,QB,64,279
Andy Dalton,Cin,QB,126,277
Philip Rivers,SD,QB,154,276
Matthew Stafford,Det,QB,57,267
LeSean McCoy,Phi,RB,14,262
Russell Wilson,Sea,QB,59,256
Colin Kaepernick,SF,QB,32,253
Tony Romo,Dal,QB,76,252
Matt Forte,Chi,RB,19,251
Nick Foles,Phi,QB,200,251
Ben Roethlisberger,Pit,QB,101,248
Tom Brady,NE,QB,18,241
Matt Ryan,Atl,QB,38,239
Alex Smith,KC,QB,133,238
Marshawn Lynch,Sea,RB,3,224
Josh Gordon,Cle,WR,122,221
Knowshon Moreno,Den,RB,125,220
Demaryius Thomas,Den,WR,21,220
Calvin Johnson,Det,WR,8,212
Jimmy Graham,NO,TE,27,211
Carson Palmer,Ari,QB,140,209
A.J. Green,Cin,WR,15,203
Robert Griffin III,Wsh,QB,42,200
Brandon Marshall,Chi,WR,20,198
Eddie Lacy,GB,RB,41,198
Antonio Brown,Pit,WR,66,197
Seahawks D/ST,"",DEF,63,195
Adrian Peterson,Min,RB,1,194
Joe Flacco,Bal,QB,121,194
Dez Bryant,Dal,WR,17,194
Chris Johnson,Ten,RB,25,189
DeMarco Murray,Dal,RB,43,189
Eric Decker,Den,WR,56,187
Alshon Jeffery,Chi,WR,123,186
Panthers D/ST,"",DEF,198,185
DeSean Jackson,Phi,WR,70,182
Chiefs D/ST,"",DEF,199,179
Stephen Gostkowski,NE,K,95,176
Bengals D/ST,"",DEF,110,176
Fred Jackson,Buf,RB,127,175
Ryan Mathews,SD,RB,65,175
Reggie Bush,Det,RB,40,174
Jordy Nelson,GB,WR,62,173
Matt Prater,Den,K,136,169
Frank Gore,SF,RB,22,166
Cardinals D/ST,"",DEF,163,164
Eli Manning,NYG,QB,85,162
Aaron Rodgers,GB,QB,10,162
Andre Johnson,Hou,WR,30,161
Jay Cutler,Chi,QB,139,160
Alfred Morris,Wsh,RB,12,160
Le'Veon Bell,Pit,RB,103,160
Justin Tucker,Bal,K,144,159
